Parent Type,Parent ID,Asset ID,Asset Name,Asset Description,Asset Function,Asset Make,Asset Model,Asset Part Number,Asset Serial Number,Security Zone,Asset Firmware,Redundant Asset Pair ID (If Applicable),Asset Contact Person,Comments
Site,Exit-17, Juniper-Server-Switch-1 , Juniper-Server-Switch-1 ,Serverfarm switch,Serverfarm switch,Juniper,Juniper EX4200 ,,,,,,,
Site,Exit-17,Juniper-Server-Switch-10G,Juniper-Server-Switch-10G,Serverfarm switch,Serverfarm switch,Juniper,Juniper EX8200 ,,,,,,,
Site,HEET WWTP,OT Firewall1,OT Firewall1,Firewall,Firewall,Fortinet,Fortinet-30E,,,,,,,
Site,Bowaib WTP,RD-BWB-WTP-OT-SW-01,RD-BWB-WTP-OT-SW-01,OT Switch,OT Switch,Cisco,,,,,,,,
Site,Bowaib WTP,RD-BWB-WTP-OT-VMD-01,RD-BWB-WTP-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1493,,,,,
Site,Exit-10,RD-E10-OT-FW-01,RD-E10-OT-FW-01,Exit-10 OT Firewall 1,OT Firewall,Palo Alto,PA-820,,012001059079,,,,,
Site,Exit-10,RD-E10-OT-FW-02,RD-E10-OT-FW-02,Exit-10 OT Firewall 2,OT Firewall,Palo Alto,PA-820,,012001059184,,,,,
Site,Exit-10,RD-E10-OT-SW-EXT,RD-E10-OT-SW-EXT,Exit-10 OT Switch connected to Cloud,OT Switch,Cisco,C1000,,,,,,,
Site,Exit-17,RD-E17-OT-FW-01,RD-E17-OT-FW-01,OT Firewall,OT Firewall,Palo Alto,PA 220,,12801214514,,,,,
Site,Exit-17,RD-E17-OT-SW-01,RD-E17-OT-SW-01,OT Switch,OT Switch,Cisco,2960G,,FOC1050Z3WC,,,,,
Site,Exit-10,RD-ET10-OT-SW-02,RD-ET10-OT-SW-02,EXIT-10 OT Switch SCADA room Switch,OT Switch,Cisco,C1000,,,,,,,
Site,Exit-10,RD-ET10-OT-SW-SRVR-01,RD-ET10-OT-SW-SRVR-01,Exit-10 OT Switch Data centre,Switch,Cisco,C1000,,,,,,,
Site,Exit-10,RD-ET10-OT-VMD-01,RD-ET10-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1479,,,,,
Site,Exit-17,RD-ET17-OT-VMD-01,RD-ET17-OT-VMD-01,NOZOMI,Vulnerability Management,Nozomi Networks,NSG-L-100,,2038BA1486,,,,,
Site,HEET WWTP,RD-HET-STP-OT-FW-01,RD-HET-STP-OT-FW-01,OT Firewall,OT Firewall,Palo Alto,PA 220,,12801214520,,,,,
